tm,gyjx,dzdq,nfcp,ysyc,wjyp,ldld,jzx,jsks,kuangjian,gangcai,shiyou,mei
2014/10/1,33.2912,0.6933,17.6027,96.1421,32.5903,714248,786.7366,3303.659,1106.1387,1589.4315,1115.4534,13946.722
2014/11/1,40.4462,1.1805,22.8143,101.114,35.4509,1504127,801.9658,3128.4605,826.9931,1572.8951,1040.879,13521.3989
2014/12/1,41.9041,1.6244,19.7915,118.5827,37.4392,2063688,788.8904,2899.3485,855.4275,1616.5055,1062.6941,13721.523
2015/1/1,41.8164,2.6256,29.7313,142.0837,36.2604,1673076,716.8653,2771.6996,465.1493,1601.5569,1066.8276,14545.4067
2015/2/2,30.5462,1.2379,14.3415,88.5925,25.5353,968963,499.3412,2711.9779,598.9779,1446.3064,1008.8966,11898.2256
2015/3/3,41.5022,3.6453,28.8138,145.9287,35.5551,1964112,781.079,2577.3475,1087.4385,1474.7463,1103.0637,12610.8646
2015/4/4,38.8504,4.5181,25.8057,136.561,39.8479,1950056,781.7384,2814.2513,1072.444,1397.9342,1085.0314,11365.426
2015/5/5,46.8133,4.3856,25.7696,130.9977,38.0254,1799334,828.1116,3055.0283,995.6445,1422.8965,1096.0165,11793.4782
2015/6/6,42.749,4.1366,19.553,117.3866,35.568,1444399,793.3754,2869.7634,898.5448,1350.2681,1041.3092,11410.2928
2015/7/7,46.4016,5.6934,19.3444,130.0396,36.8961,1769829,857.5139,2667.3044,1008.6185,1303.2589,1019.1339,11884.967
