tm,adv,coor,delay,adv.input,coor.input,delay.input,hyl,gyzjz,hyzzl,x12hyl,x12gyzjz,x12hyzzl,kyl,kyzzl,gdzctz,x12kyl,x12kyzzl,x12gdzctz,gc,ym,yy,hlfdl,x12gc,x12ym,x12yy,x12hlfdl
2007/5/1,0,0,0,0,0,0,2.003379715,17.25553011,1614.260463,1.006855941,1.033971954,1.012412032,1.110962272,3940.853154,1863402.286,1.031411305,1.183023761,1.149892805,4598.518417,18781.08506,2717.169481,2238.866633,1.012175255,1.023051901,1.011349924,1.031611564
2007/6/1,0,0,0,0,0,0,2.019531415,17.72058107,1618.805597,1.007767112,1.032401017,1.012087285,1.126810902,3998.96461,1926859.858,1.030227244,1.180847044,1.153618133,4676.708731,18975.83868,2728.824522,2267.213575,1.007236194,1.020914992,1.008746154,1.028104287
2007/7/1,0,0,0,0,0,0,2.033906578,18.02250672,1627.231475,1.009070134,1.02787047,1.012016664,1.143255827,4037.899124,1979850.204,1.028143436,1.177209856,1.159913449,4758.98284,19170.39676,2735.297031,2291.949962,1.003636724,1.019044724,1.00546308,1.023758321
2007/8/1,0,0,0,0,0,0,2.046240337,18.20206314,1638.994871,1.01045044,1.021145231,1.012208121,1.157431906,4062.431375,2021248.935,1.025363924,1.175030483,1.166657822,4839.609783,19344.59526,2739.928627,2312.532876,1.001613911,1.017692012,1.005257092,1.019256229
2007/9/1,0,0,0,0,0,0,2.057584724,18.26492243,1651.138685,1.011578859,1.013060748,1.01242422,1.167056152,4082.069575,2048123.518,1.022169381,1.17503785,1.172155225,4906.274983,19527.9331,2749.767609,2328.275464,1.001375759,1.016892237,1.008147354,1.015442253
2007/10/1,0,0,0,0,0,0,2.071278576,18.18476907,1662.874768,1.012293824,1.004750223,1.012748362,1.173066453,4086.652826,2062907.093,1.018552365,1.174925849,1.177689882,4948.509825,19750.32081,2768.997079,2340.16981,1.002558769,1.016605723,1.009730027,1.012568758
2007/11/1,0,0,0,0,0,0,2.088710238,17.91989148,1675.765922,1.012606195,0.997704967,1.013475346,1.178411373,4073.093277,2068815.322,1.015023889,1.175170517,1.182921488,4964.244503,20025.2351,2796.717414,2352.165671,1.004513817,1.016949213,1.007082905,1.01024803
2007/12/1,0,0,0,0,0,0,2.107661986,17.51122371,1690.164756,1.012424601,0.99177388,1.014517244,1.183427585,4066.231639,2086260.246,1.011917104,1.174636704,1.189215554,4968.53419,20338.00478,2826.539104,2368.747616,1.006212112,1.017665847,1.001536552,1.008570185
2008/1/1,0,0,0,0,0,0,2.125407823,17.03323292,1704.861594,1.011783964,0.985798032,1.015402061,1.18828485,4095.542577,2125113.88,1.009559612,1.172874371,1.197309951,4974.89268,20696.30426,2851.463068,2385.071014,1.006872619,1.018247553,0.993761519,1.006969263
2008/2/1,0,0,0,0,0,0,2.139225146,16.57849887,1718.314187,1.010534639,0.978527706,1.015706962,1.194012255,4163.750043,2186222.271,1.00792111,1.170762033,1.205437365,4988.491948,21069.45785,2867.101364,2401.631208,1.00595307,1.018376888,0.981843259,1.004889201
