tm,adv.input,coor.input,delay.input,gc,ym,yy,hlfdl,hyzzl,hyl,gyzjz,kyl,kyzzl,gdzctz,yylc
2008/9/1,0,0,0,4643.456,21693.69819,2845.55283,2258.635284,1715.331382,2.128,11.168,1.231947418,4364.911217,3859919.942,80284.24837
2008/10/1,0,0,0,4604.969,21486.62385,2809.61349,2200.97368,1676.708148,2.095,9.889,1.238191409,4364.666569,4146918.722,80706.02544
2008/11/1,0,0,0,4634.032,21398.53653,2778.050404,2161.831076,1639.209728,2.05,8.849,1.242934525,4389.160446,4444880.352,81304.16356
2008/12/1,0,0,0,4717.024,21486.18012,2763.665756,2144.584836,1610.668569,2.008,8.124,1.24946458,4435.225469,4733611.04,82080.80806
2009/1/1,0,0,0,4833.334,21784.91728,2774.890582,2152.265944,1595.865911,1.985,7.726,1.257542082,4474.790376,5008090.596,82939.66673
2009/2/1,0,0,0,4969.887,22299.89381,2815.008776,2183.588488,1595.221795,1.987,7.611,1.262890084,4487.754295,5265270.215,83730.18958
2009/3/1,0,0,0,5120.937,22972.57061,2880.720839,2227.861613,1607.088832,2.009,7.733,1.265962021,4467.177049,5477974.368,84342.36152
2009/4/1,0,0,0,5288.013,23674.92364,2963.382318,2281.67648,1627.708454,2.041,8.087,1.265178084,4426.366322,5618168.653,84764.89394
2009/5/1,0,0,0,5474.429,24301.98158,3053.005809,2338.608173,1655.567005,2.081,8.77,1.261209537,4392.504395,5687086.98,85063.75739
2009/6/1,0,0,0,5677.284,24846.07684,3139.52762,2402.291054,1687.564639,2.126,9.826,1.258297569,4384.622134,5680755.33,85326.01277
2009/7/1,0,0,0,5889.103,25283.23307,3213.87175,2480.783307,1721.8386,2.174,11.219,1.258187849,4399.564826,5609579.992,85603.53328
2009/8/1,0,0,0,6097.374,25692.48954,3270.236689,2573.12297,1757.583229,2.214,12.817,1.261802329,4420.096879,5507018.194,85905.14632
2009/9/1,0,0,0,6280.915,26079.37473,3308.622483,2671.105829,1790.998628,2.245,14.357,1.268158238,4440.227865,5404327.623,86239.76983
2009/10/1,0,0,0,6410.085,26469.09427,3332.28209,2756.99166,1816.97245,2.269,15.588,1.278546408,4456.186092,5320622.351,86659.34774
2009/11/1,0,0,0,6484.296,26846.5628,3346.055254,2818.750213,1834.537407,2.294,16.427,1.291609767,4456.397728,5312359.209,87206.76097
2009/12/1,0,0,0,6523.562,27186.32017,3359.110518,2856.244406,1845.989122,2.32,16.957,1.305017295,4451.956518,5385404.075,87884.16313
2010/1/1,0,0,0,6550.127,27410.32475,3377.450245,2869.110202,1854.795953,2.345,17.206,1.318853749,4468.131364,5543370.978,88624.61673
2010/2/1,0,0,0,6572.471,27484.64818,3402.397347,2854.140854,1862.864856,2.362,17.176,1.334891923,4524.485317,5721073.966,89319.82424
2010/3/1,0,0,0,6602.808,27528.33671,3429.904541,2822.85583,1870.465993,2.371,16.916,1.352278464,4618.109855,5929193.328,89892.09031
2010/4/1,0,0,0,6640.683,27611.4453,3454.043308,2788.837578,1877.48092,2.377,16.455,1.367566116,4721.43429,6187701.225,90329.61666
2010/5/1,0,0,0,6666.931,27729.63014,3473.748809,2759.795249,1883.350277,2.388,15.82,1.380994916,4805.256915,6530295.375,90676.92375
2010/6/1,0,0,0,6669.065,27913.29759,3492.282028,2742.124958,1889.345093,2.405,15.073,1.391509233,4854.849352,6953538.683,90986.48986
2010/7/1,0,0,0,6645.756,28226.15833,3514.335687,2733.641173,1896.280752,2.422,14.333,1.40053448,4883.617267,7411565.161,91304.62164
2010/8/1,0,0,0,6615.79,28656.04288,3544.3612,2736.30239,1903.222486,2.438,13.727,1.408736819,4910.437699,7812863.832,91658.07022
2010/9/1,0,0,0,6611.067,29132.12811,3583.197066,2752.989148,1911.705098,2.447,13.415,1.417677769,4931.682595,8083753.198,92038.73364
2010/10/1,0,0,0,6663.717,29620.92317,3626.209459,2783.903511,1924.534912,2.456,13.413,1.427890761,4945.289275,8232342.415,92358.44651
2010/11/1,0,0,0,6768.758,30053.65417,3666.432963,2825.948548,1939.955808,2.469,13.579,1.440319809,4969.66198,8268470.52,92493.2008
2010/12/1,0,0,0,6900.332,30432.23263,3698.478874,2874.098559,1954.418916,2.486,13.727,1.456504812,5005.900581,8160305.183,92399.47913
2011/1/1,0,0,0,7031.735,30752.90074,3720.655211,2932.703996,1966.023307,2.499,13.839,1.474367236,5051.677553,7926167.291,92182.5422
2011/2/1,0,0,0,7143.247,31031.38984,3735.105014,3002.742947,1976.915005,2.505,13.973,1.494281845,5102.4918,7602652.608,92027.17062
2011/3/1,0,0,0,7225.237,31291.09605,3745.562289,3077.364199,1990.184068,2.511,14.103,1.515134451,5154.657065,7206338.965,92070.47334
2011/4/1,0,0,0,7285,31553.1141,3753.885464,3147.572125,2008.004307,2.527,14.216,1.536298355,5207.413876,6696226.951,92328.32884
2011/5/1,0,0,0,7346.111,31876.52585,3755.700231,3211.311495,2029.436572,2.556,14.322,1.555499115,5263.133245,6069681.123,92710.78316
2011/6/1,0,0,0,7407.311,32157.6971,3748.523399,3258.626473,2051.070422,2.592,14.378,1.569487102,5315.735101,5379199.96,93120.07881
2011/7/1,0,0,0,7452.84,32229.78092,3735.514519,3281.780856,2070.249379,2.617,14.299,1.577218561,5351.233945,4732781.108,93526.84006
2011/8/1,0,0,0,7471.59,31995.82498,3719.711073,3281.281867,2083.829997,2.623,14.068,1.58039689,5366.704481,4221296.719,93928.15957
2011/9/1,0,0,0,7455.097,31487.92702,3709.879054,3259.569377,2090.079144,2.622,13.746,1.579689857,5378.276548,3901944.131,94284.37819
2011/10/1,0,0,0,7422.14,30800.55287,3712.477609,3233.044084,2088.35085,2.616,13.432,1.573737117,5388.374674,3797517.227,94589.86159
2011/11/1,0,0,0,7408.338,30124.77049,3727.730138,3212.108734,2080.902129,2.607,13.236,1.566603565,5383.63631,3850471.353,94893.36325
2011/12/1,0,0,0,7439.977,29652.88439,3748.828554,3202.105238,2072.557568,2.59,13.159,1.559196641,5353.709345,4007844.117,95240.48273
2012/1/1,0,0,0,7515.139,29499.33583,3769.224427,3199.500105,2065.573615,2.572,13.061,1.555296165,5299.95836,4177549.272,95633.07976
2012/2/1,0,0,0,7620.684,29651.23155,3782.390706,3198.745611,2059.181886,2.562,12.771,1.557120093,5242.035953,4297524.783,96042.22031
2012/3/1,0,0,0,7726.669,29967.16208,3783.659903,3192.984139,2050.302746,2.565,12.239,1.563321069,5214.921537,4354839.794,96425.29951
2012/4/1,0,0,0,7803.965,30301.19356,3779.008729,3173.260888,2036.124379,2.567,11.501,1.574194982,5240.343511,4433583.12,96770.8468
2012/5/1,0,0,0,7843.073,30531.08747,3776.560508,3140.101853,2015.712478,2.545,10.677,1.587155313,5308.720907,4635802.677,97111.07161
